Dataset,Fold,Variant,Training_MMRE,Input,Output,Inquiry,File,FPAdj,RawFPcounts,AdjFP,AFP,Enquiry,Interface,Added,Changed,Deleted,Resource,Duration,AdjFactor,rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,loc,TeamExp,ManagerExp,YearEnd,Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language,Hardware,KSLOC,RAWFP,Actual.duration,Adjusted.function.points,First.estimate,Syear,App,Har,Dba,Ifc,Source,Telonuse,Nlan,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,Size,Time,KLOC,SCRN,FORM,FILE,ESCRN,EFORM,EFILE,TotalUFP,ExternalInterface,ExternalQueries,ExternalInputs,InternalLogicalFiles,ExternalOutputs,COSMIC_FP,HH_CFP
Albrecht,8,FAABE_NO_FIREFLY,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,8,FAABE_NO_PEARSON,0.5591558218002319,0.0,0.21854634582996368,0.4394560158252716,0.18302662670612335,0.11057135462760925,0.0,0.04839957505464554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,8,FAABE_NO_IWM,0.5580287575721741,0.007546937558799982,0.20278458297252655,0.42224323749542236,0.15880709886550903,0.11590033769607544,0.010556945577263832,0.0821608453989029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,8,FAABE_FULL,0.5662141442298889,0.0,0.17047277092933655,0.5096756219863892,0.13990047574043274,0.10939774662256241,0.0,0.07055342942476273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,9,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,9,FAABE_NO_FIREFLY,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,0.1666666716337204,0.1666666716337204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,9,FAABE_NO_PEARSON,0.6139792799949646,0.20196658372879028,0.15274927020072937,0.4771389067173004,0.111830934882164,0.05444391444325447,0.0018703826935961843,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,9,FAABE_NO_IWM,0.6260957717895508,0.14979222416877747,0.16712872684001923,0.6830791234970093,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,9,FAABE_FULL,0.6246218681335449,0.1303490251302719,0.13295546174049377,0.6702625751495361,0.0,,0.06643292307853699,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,10,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,10,FAABE_NO_FIREFLY,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,0.1666666716337204,0.1666666716337204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,10,FAABE_NO_PEARSON,0.5380395650863647,0.06439083814620972,0.1951473504304886,0.5795556306838989,0.12227266281843185,0.03863353654742241,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,10,FAABE_NO_IWM,0.639255702495575,0.14299938082695007,0.1359652727842331,0.08010412752628326,0.3813907504081726,,0.0,0.25954049825668335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albrecht,10,FAABE_FULL,0.6245545744895935,0.15757998824119568,0.20540353655815125,0.6069636344909668,0.03005286678671837,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,1,ABE_BASE,,0.0833333358168602,0.0833333358168602,,0.0833333358168602,,,,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,1,FAABE_NO_FIREFLY,,0.1111111119389534,0.1111111119389534,,0.1111111119389534,,,,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,,,,0.1111111119389534,0.1111111119389534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,1,FAABE_NO_PEARSON,1.139102578163147,0.027952564880251884,0.03916217386722565,,0.08000750839710236,,,,0.0,0.026938166469335556,0.18280069530010223,0.15686215460300446,0.04643638804554939,0.16928380727767944,0.23192979395389557,0.038626778870821,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,1,FAABE_NO_IWM,1.143610954284668,0.10590358078479767,0.2107253521680832,,0.0639091432094574,,,,0.037925876677036285,0.09579858183860779,0.140039324760437,0.15907999873161316,,,,0.056032925844192505,0.13058526813983917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
