Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,Input,Output,Inquiry,File,FPAdj,RawFPcounts,AdjFP,AFP,Enquiry,Interface,Added,Duration,AdjFactor,Resource,data,modp,loc,pcap,turn,Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language,KSLOC,RAWFP,Actual.duration,Adjusted.function.points,First.estimate,Nlan,T07,T11,T14,T15,Size,T09,T10,T01,T08,KLOC,SCRN,FORM,FILE,ESCRN,EFORM,EFILE,TotalUFP,ExternalInterface,ExternalQueries,ExternalInputs,InternalLogicalFiles,ExternalOutputs,COSMIC_FP,HH_CFP
Miyazaki94,1,GA-ABE,0.3502901494503021,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27570492029190063,0.19160772860050201,0.014530208893120289,0.1371709555387497,0.16776123642921448,0.029379334300756454,0.1838456690311432,,,,,,,,
Miyazaki94,1,PSO-ABE,0.33635959029197693,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4382888972759247,0.19751472771167755,0.0,0.05028165876865387,0.0,0.0,0.3139146864414215,,,,,,,,
Miyazaki94,1,DE-ABE,0.39969223737716675,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278340607881546,0.32891497015953064,0.07835853844881058,0.0008835283806547523,0.18924571573734283,0.0,0.12425658106803894,,,,,,,,
Miyazaki94,1,GWO-ABE,0.3273131251335144,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5493975281715393,0.003494848497211933,5.4880467359907925e-05,0.006649103946983814,0.0063706678338348866,0.0004780843446496874,0.43355488777160645,,,,,,,,
Miyazaki94,1,WOA-ABE,0.31110936403274536,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4952656328678131,0.014054141007363796,0.0010774487163871527,0.01768932305276394,0.0,0.0,0.47191348671913147,,,,,,,,
Miyazaki94,1,FAABE,0.3312595784664154,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4093010723590851,0.0017672007670626044,0.0032104812562465668,0.0679200068116188,0.10108032822608948,0.0,0.4167208969593048,,,,,,,,
Miyazaki94,2,ABE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,,,,,,,,
Miyazaki94,2,GA-ABE,0.38222238421440125,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3222081959247589,0.19051147997379303,0.030042529106140137,0.09989266097545624,0.24865546822547913,0.02145363762974739,0.08723608404397964,,,,,,,,
Miyazaki94,2,PSO-ABE,0.37336277961730957,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26059019565582275,0.5124726295471191,0.0,0.07440627366304398,0.15253090858459473,0.0,0.0,,,,,,,,
Miyazaki94,2,DE-ABE,0.3841205835342407,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29956889152526855,0.2825886905193329,0.050075359642505646,0.15387940406799316,0.0904109925031662,0.0002627589274197817,0.12321385741233826,,,,,,,,
Miyazaki94,2,GWO-ABE,0.38077107071876526,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5216814279556274,0.046904221177101135,0.0018712161108851433,0.2983427345752716,0.11006251722574234,6.707557622576132e-05,0.021070806309580803,,,,,,,,
Miyazaki94,2,WOA-ABE,0.3578907251358032,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36900243163108826,0.08462956547737122,0.0,0.0,0.11940038204193115,0.0,0.42696765065193176,,,,,,,,
Miyazaki94,2,FAABE,0.36939147114753723,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5301077961921692,0.0,0.0,0.2321281135082245,0.14367473125457764,0.0,0.09408942610025406,,,,,,,,
Miyazaki94,3,ABE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,,,,,,,,
Miyazaki94,3,GA-ABE,0.36122778058052063,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32410985231399536,0.3494566082954407,0.0,0.0,0.19639307260513306,0.036158766597509384,0.09388173371553421,,,,,,,,
Miyazaki94,3,PSO-ABE,0.36991003155708313,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5484499931335449,0.09208282083272934,0.0,0.20136338472366333,0.15810374915599823,0.0,0.0,,,,,,,,
Miyazaki94,3,DE-ABE,0.4133293330669403,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21671485900878906,0.28486937284469604,0.04365203529596329,0.0,0.12013022601604462,0.003074430162087083,0.33155912160873413,,,,,,,,
Miyazaki94,3,GWO-ABE,0.37998801469802856,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5965347290039062,0.06875243782997131,0.0007826538640074432,0.07563654333353043,0.09222441166639328,0.012796989642083645,0.15327231585979462,,,,,,,,
Miyazaki94,3,WOA-ABE,0.36444994807243347,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5579441785812378,0.11115405708551407,0.0,0.15328852832317352,0.13124552369117737,0.0,0.04636774957180023,,,,,,,,
Miyazaki94,3,FAABE,0.35640662908554077,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3631843626499176,0.31440412998199463,0.0,0.0,0.1999242901802063,0.02190272882580757,0.1005844920873642,,,,,,,,
Miyazaki94,4,ABE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,,,,,,,,
Miyazaki94,4,GA-ABE,0.32712700963020325,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6811078190803528,0.0002157433336833492,0.0,0.01535648200660944,0.15360623598098755,6.0537880926858634e-05,0.14965316653251648,,,,,,,,
Miyazaki94,4,PSO-ABE,0.35676294565200806,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48019304871559143,0.32422980666160583,0.0,0.0070297811180353165,0.14700742065906525,0.041539888828992844,0.0,,,,,,,,
Miyazaki94,4,DE-ABE,0.38775283098220825,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30229121446609497,0.3488035202026367,0.07851067930459976,0.005541074089705944,0.04655066132545471,0.10412062704563141,0.1141822338104248,,,,,,,,
Miyazaki94,4,GWO-ABE,0.33717697858810425,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7041192054748535,0.002298572799190879,9.197647887049243e-05,0.004610640928149223,0.16828791797161102,3.6596211430151016e-05,0.12055505067110062,,,,,,,,
Miyazaki94,4,WOA-ABE,0.3455908000469208,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42735618352890015,0.0,0.0,0.0,0.0,0.0,0.5726438164710999,,,,,,,,
Miyazaki94,4,FAABE,0.34180766344070435,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.693548321723938,0.0,0.0,0.08661697804927826,0.19890926778316498,0.0,0.02092546410858631,,,,,,,,
