Dataset,Baseline,Proposed,Valid_Pairs,Baseline_MMRE,FAABE_MMRE,FAABE_MMRE_Improvement_%,Wilcoxon_Statistic,Wilcoxon_p,Cliffs_Delta,Cliffs_Effect,Wilcoxon_p_Holm,Significant_Holm_0.05
Maxwell,DE-ABE,FAABE,62,0.6839549587421205,0.6722114239452034,1.7170041165451868,774.0,0.15568271808668316,0.11758584807492195,Negligible,0.7784135904334157,False
Maxwell,GWO-ABE,FAABE,62,0.5375570674878936,0.6722114239452034,-25.049313756877062,817.0,0.263453335834158,-0.005723204994797087,Negligible,1.0,False
Maxwell,WOA-ABE,FAABE,62,0.5350222505844798,0.6722114239452034,-25.641769704129615,869.0,0.4510351731610014,0.07336108220603538,Negligible,1.0,False
Miyazaki94,ABE,FAABE,48,0.5191571930705651,0.5667680345123011,-9.170794910909501,584.0,0.9716303691540134,-0.006944444444444444,Negligible,0.9716303691540134,False
Miyazaki94,GA-ABE,FAABE,48,0.519956184379649,0.5667680345123011,-9.00303747487926,432.0,0.11126072401906129,-0.08940972222222222,Negligible,0.6002756422357862,False
Miyazaki94,PSO-ABE,FAABE,48,0.5152299720979062,0.5667680345123011,-10.002923976752145,464.0,0.20727844924247307,0.013888888888888888,Negligible,0.6769070096606526,False
Miyazaki94,DE-ABE,FAABE,48,0.48771257489765035,0.5667680345123011,-16.20943639422072,427.0,0.10004594037263104,-0.09375,Negligible,0.6002756422357862,False
Miyazaki94,GWO-ABE,FAABE,48,0.5035486752592846,0.5667680345123011,-12.554766273680274,471.0,0.23445907059869597,-0.06336805555555555,Negligible,0.6769070096606526,False
Miyazaki94,WOA-ABE,FAABE,48,0.43956899239324393,0.5667680345123011,-28.93721903051416,453.0,0.16922675241516316,-0.1449652777777778,Negligible,0.6769070096606526,False
Subbiah,ABE,FAABE,72,2.4259586531325716,2.2321721363541527,7.988038729686836,1249.0,0.7152905090737087,-0.08140432098765432,Negligible,1.0,False
Subbiah,GA-ABE,FAABE,72,2.0110932495167666,2.2321721363541527,-10.992970459749083,1311.0,0.9865681837035253,-0.004629629629629629,Negligible,1.0,False
Subbiah,PSO-ABE,FAABE,72,2.4302771999204946,2.2321721363541527,8.15154187237665,1004.0,0.081924889980023,-0.1253858024691358,Negligible,0.49154933988013794,False
Subbiah,DE-ABE,FAABE,72,2.3513364955287863,2.2321721363541527,5.067941547338381,1305.0,0.9597197727358833,-0.008487654320987654,Negligible,1.0,False
Subbiah,GWO-ABE,FAABE,72,2.4790664543093186,2.2321721363541527,9.95916497220128,1115.0,0.26411106830552245,0.05632716049382716,Negligible,1.0,False
Subbiah,WOA-ABE,FAABE,72,2.0201751391089084,2.2321721363541527,-10.493990998164412,1263.0,0.7747277255997833,0.08024691358024691,Negligible,1.0,False
Valdes-Souto,ABE,FAABE,57,2.9993530150384276,3.00010221116544,-0.024978591158023408,6.0,0.3454475304692257,0.0043090181594336715,Negligible,1.0,False
Valdes-Souto,GA-ABE,FAABE,57,3.000101806246976,3.00010221116544,-1.3496824101259858e-05,6.0,0.3454475304692257,0.0012311480455524776,Negligible,1.0,False
Valdes-Souto,PSO-ABE,FAABE,57,3.000102664010276,3.00010221116544,1.5094311329027244e-05,6.0,0.3454475304692257,-0.0012311480455524776,Negligible,1.0,False
Valdes-Souto,DE-ABE,FAABE,57,3.000102664010276,3.00010221116544,1.5094311329027244e-05,6.0,0.3454475304692257,-0.0012311480455524776,Negligible,1.0,False
Valdes-Souto,GWO-ABE,FAABE,57,3.000099913380486,3.00010221116544,-7.659028099750852e-05,6.0,0.3454475304692257,0.0012311480455524776,Negligible,1.0,False
Valdes-Souto,WOA-ABE,FAABE,57,3.000102683742234,3.00010221116544,1.5752020645910384e-05,6.0,0.3454475304692257,-0.0012311480455524776,Negligible,1.0,False
