Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor,Resource
China,7,GA-ABE,1.1157262325286865,1000,0.11991828680038452,0.031961552798748016,0.1265755593776703,0.1322557032108307,0.0012598717585206032,0.0,0.1507924497127533,0.42113617062568665,0.016100376844406128,
China,7,PSO-ABE,1.0716856718063354,1000,0.11688705533742905,0.020522285252809525,0.06796833127737045,0.05481003224849701,0.08107355237007141,0.18137694895267487,0.01591568812727928,0.26701366901397705,0.19443243741989136,
China,7,DE-ABE,1.1277645826339722,1000,0.0398448221385479,0.2116990089416504,0.14142584800720215,0.2534434199333191,0.0,0.14278644323349,0.0,0.15734699368476868,0.053453437983989716,
China,7,GWO-ABE,1.1186619997024536,1000,0.010667195543646812,0.006237342022359371,0.00781906396150589,0.07754793018102646,0.10700498521327972,0.31842055916786194,0.03493132069706917,0.2695998549461365,0.16777175664901733,
China,7,WOA-ABE,1.12666654586792,1000,0.13902448117733002,0.0,0.0,0.04595407098531723,0.0,0.30759376287460327,0.0,0.36548683047294617,0.14194084703922272,
China,7,FAABE,1.1364624500274658,1000,0.1043769121170044,0.0,0.011222101747989655,0.06441522389650345,0.1176404282450676,0.2615327835083008,0.012675072997808456,0.3127676248550415,0.11536987870931625,
China,8,ABE,,0,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,
China,8,GA-ABE,1.1840157508850098,1000,0.0,0.13600336015224457,0.06679296493530273,0.04343728721141815,0.06032858416438103,0.1778557002544403,0.05658489093184471,0.06277114897966385,0.396226167678833,
China,8,PSO-ABE,1.2290363311767578,1000,0.02817591279745102,0.04351324215531349,0.12483064085245132,0.05224871262907982,0.08132731169462204,0.024055298417806625,0.48084720969200134,0.048189837485551834,0.1168118491768837,
China,8,DE-ABE,1.2605526447296143,1000,0.0069724684581160545,0.10549072921276093,0.22686858475208282,0.05482838302850723,0.08959373086690903,0.21873509883880615,0.0,0.16833320260047913,0.12917782366275787,
