Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,Input,Output,Inquiry,File,FPAdj,RawFPcounts,AdjFP
Albrecht,8,GWO-ABE,0.5679433941841125,1000,0.0011340717319399118,0.14036183059215546,0.528130054473877,0.11322548240423203,0.0901026800274849,0.011486964300274849,0.11555896699428558
Albrecht,8,WOA-ABE,0.5584193468093872,1000,0.07075420022010803,0.10498736053705215,0.5448744893074036,0.11296211183071136,0.0776124820113182,0.0,0.08880939334630966
Albrecht,8,FAABE,0.7786746025085449,1000,0.14198696613311768,0.22268572449684143,0.1285991668701172,0.11841898411512375,0.0,0.24184182286262512,0.14646734297275543
Albrecht,9,ABE,,0,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,0.1666666716337204,0.1666666716337204
Albrecht,9,GA-ABE,0.741111695766449,1000,0.16273978352546692,0.13987353444099426,0.1666434407234192,0.31192925572395325,,0.0,0.21881401538848877
Albrecht,9,PSO-ABE,0.6798768043518066,1000,0.21245628595352173,0.3026067614555359,0.3989207148551941,0.05458514019846916,,0.0,0.031431082636117935
Albrecht,9,DE-ABE,0.6642098426818848,1000,0.1523599773645401,0.13552209734916687,0.5856253504753113,0.05767754837870598,,0.056329064071178436,0.01248595304787159
Albrecht,9,GWO-ABE,0.6316803097724915,1000,0.09822341799736023,0.13596586883068085,0.6834120750427246,0.002025261987000704,,0.06317248195409775,0.017200957983732224
Albrecht,9,WOA-ABE,0.6189516186714172,1000,0.13259311020374298,0.16094651818275452,0.658268392086029,0.018863031640648842,,0.0,0.02932893857359886
Albrecht,9,FAABE,0.6290807127952576,1000,0.14043790102005005,0.14758914709091187,0.681201159954071,0.0,,0.030771814286708832,0.0
Albrecht,10,ABE,,0,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,0.1666666716337204,0.1666666716337204
Albrecht,10,GA-ABE,0.6806896924972534,1000,0.02348819375038147,0.26479876041412354,0.09672282636165619,0.2366185188293457,,0.2399176061153412,0.1384541392326355
Albrecht,10,PSO-ABE,0.6402576565742493,1000,0.0,0.15365417301654816,0.39972028136253357,0.2216195911169052,,0.0,0.22500596940517426
Albrecht,10,DE-ABE,0.6608607172966003,1000,0.06134632229804993,0.2112276554107666,0.08151735365390778,0.31120580434799194,,0.01772524043917656,0.31697767972946167
Albrecht,10,GWO-ABE,0.6226313710212708,1000,0.08851205557584763,0.16400966048240662,0.6724089980125427,0.050621580332517624,,0.00016781997692305595,0.02427985705435276
Albrecht,10,WOA-ABE,0.6322833299636841,1000,0.0018569043604657054,0.1867266595363617,0.6839882135391235,0.12008894234895706,,0.007339288480579853,0.0
