Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,TotalUFP,ExternalInterface,ExternalQueries,ExternalInputs,InternalLogicalFiles,ExternalOutputs
Subbiah,3,WOA-ABE,1.6889160871505737,1000,0.14182667434215546,0.4080849289894104,0.04110850393772125,0.23723292350769043,0.17174696922302246,
Subbiah,3,FAABE,1.709481120109558,1000,0.3096359372138977,0.36402276158332825,0.020889120176434517,0.17257104814052582,0.13288114964962006,
Subbiah,4,ABE,,0,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,4,GA-ABE,1.2955844402313232,1000,0.04817710816860199,0.07391320914030075,0.35441604256629944,0.17772549390792847,0.0,0.34576815366744995
Subbiah,4,PSO-ABE,1.1698042154312134,1000,0.15755386650562286,0.08711269497871399,0.0,0.0772009864449501,0.20987814664840698,0.46825429797172546
Subbiah,4,DE-ABE,1.2029999494552612,1000,0.13417166471481323,0.16125419735908508,0.03514714539051056,0.11150147765874863,0.2344728708267212,0.3234526515007019
Subbiah,4,GWO-ABE,1.047876238822937,1000,0.0048106759786605835,0.1262139528989792,0.0013526692055165768,0.06471022963523865,0.000548751384485513,0.8023636937141418
Subbiah,4,WOA-ABE,1.0968029499053955,1000,0.006459013558924198,0.0033440596889704466,6.04423948971089e-05,0.12968359887599945,0.02341388165950775,0.8370389938354492
Subbiah,4,FAABE,1.1921093463897705,1000,0.1263120472431183,0.0718998983502388,0.0,0.07362598925828934,0.22188076376914978,0.5062813758850098
Subbiah,5,ABE,,0,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,5,GA-ABE,1.2734485864639282,1000,0.0,0.07470449805259705,0.0,0.18999938666820526,0.15070821344852448,0.5845878720283508
Subbiah,5,PSO-ABE,1.2400676012039185,1000,0.026718836277723312,0.10693035274744034,0.0,0.0830649733543396,0.0,0.7832858562469482
Subbiah,5,DE-ABE,1.4352741241455078,1000,0.0,0.0730370357632637,0.012714163400232792,0.20486611127853394,0.2388869822025299,0.4704957604408264
Subbiah,5,GWO-ABE,1.2395669221878052,1000,0.002085084328427911,0.03846224024891853,0.00014066808216739446,0.21877893805503845,0.04385192319750786,0.6966811418533325
Subbiah,5,WOA-ABE,1.47078537940979,1000,8.317015453940257e-05,0.23097138106822968,0.0,0.14239390194416046,0.5360102653503418,0.09054134786128998
